"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-05-10","78","83","73",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-05-11","77","84","72",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-05-12","75","81","71",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-05-13","76","82","71",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-05-14","76","85","69",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-05-15","77","85","70",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-05-16","80","89","74",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-05-17","79","84","71",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-05-18","78","86","70",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-05-19","77","83","72",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-05-20","78","83","73",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-05-21","76","86","70",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-05-22","79","85","72",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-05-23","80","85","76",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-05-24","78","81","72",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-05-25","75","80","69",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-05-26","73","85","70",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-05-27","79","86","73",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-05-28","79","86","74",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-05-29","79","86","74",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-05-30","79","86","75",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-05-31","80","87","75",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-06-01","80","87","74",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-06-02","79","84","73",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-06-03","79","88","72",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-06-04","80","86","75",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-06-05","80","86","76",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-06-06","78","84","73",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-06-07","79","86","75",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-06-08","79","86","74",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-06-09","79","86","73",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-06-10","80","86","74",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-06-11","81","89","76",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-06-12","82","88","77",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-06-13","80","87","76",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-06-14","80","87","76",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-06-15","80","86","74",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-06-16","79","87","72",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-06-17","78","85","71",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-06-18","79","87","74",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-06-19","80","86","75",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-06-20","78","85","70",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-06-21","78","86","72",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-06-22","79","87","73",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-06-23","78","85","72",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-06-24","80","88","74",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-06-25","80","87","74",
